Presern monument,46.0508,14.5034
Robba Fountain,46.0501,14.5069
Krizanke,46.0463,14.5032
Metelkova,46.0573,14.5166
Ljubljana Central Market,46.0514,14.5097
National and University Library,46.0475,14.504
Ljubljana Town Hall,46.0499,14.5071
Ple_nik House,46.0424,14.5024
Ljubljana Zoo,46.0527,14.4721
Ljubljana Cathedral,46.0508,14.5081
Franciscan Church of the Annunciation,46.0517,14.5061
National Gallery,46.0541,14.5003
National Museum of Slovenia,46.052,14.4997
National Museum of Contemporary History,46.059,14.4953
Congress Square,46.0502,14.5038
The Skyscraper (Neboticnik),46.053,14.503
Ljubljana Botanic Garden,46.0403,14.5143
Brewery Museum,46.0597,14.4987
